treatment_group,n,minimum,median,mean,maximum,total
HIGH_VOLUME,315,0.3743668256115461,0.5785700792426891,0.5801898930121105,0.8277666819842644,182.75981629881483
OTHER,482,0.15132871640690795,0.3905308984455008,0.3823639628984018,0.6384564605748694,184.29943011702966
