covariate,term,kind,mean_treated,mean_control,smd,abs_smd,variance_ratio,ks
age_years,age_years,numeric,59.96966564381606,59.870273393969235,0.006808007847962193,0.006808007847962193,0.9514504582610565,0.045500747712289624
sex,sex=FEMALE,categorical,0.5701056138327598,0.5705560686742859,-0.0009099568208144595,0.0009099568208144595,1.0002585962769648,0.00045045484152589355
sex,sex=MALE,categorical,0.42989438616724013,0.4294439313257142,0.0009099568208142352,0.0009099568208142352,1.0002585962769648,0.0004504548415260601
bmi,bmi,numeric,26.22399221017352,26.24614896615201,-0.004400275060307298,0.004400275060307298,1.2226624450337586,0.04476691801477384
asa_ge3,asa_ge3,numeric,0.4085270431765683,0.4135875507781335,-0.010285185302532555,0.010285185302532555,0.9962883778170305,0.005060507601565067
cci,cci,numeric,1.3213088037231582,1.313883488181628,0.006340951119779559,0.006340951119779559,0.9575821063389005,0.018234480123652252
malignant_case,malignant_case,numeric,0.35219024660623705,0.35533116297229755,-0.006569120657733909,0.006569120657733909,0.9959896666022626,0.003140916366060509
pathology_group,pathology_group=DUCTAL_ADENOCARCINOMA,categorical,0.2890520671020809,0.29365682273243265,-0.01013413779307602,0.01013413779307602,0.9907361850711985,0.004604755630351676
pathology_group,pathology_group=IPMN,categorical,0.1573601723668972,0.1566395888242886,0.001980710815028908,0.001980710815028908,1.003741914507994,0.0007205835426087326
pathology_group,pathology_group=NEUROENDOCRINE,categorical,0.2181243034350412,0.21537371070807929,0.006675744002185724,0.006675744002185724,1.0092208759830499,0.0027505927269617647
pathology_group,pathology_group=OTHER,categorical,0.2773402362187511,0.27665915771476013,0.001521908044091124,0.001521908044091124,1.001517904974881,0.0006810785039909062
pathology_group,pathology_group=SOLID_PSEUDOPAPILLARY,categorical,0.058123220877229605,0.05767072002043935,0.0019375034739750755,0.0019375034739750755,1.0073623224280637,0.0004525008567902722
tumor_size_mm,tumor_size_mm,numeric,32.18632824433235,32.26105120686723,-0.003958384328944664,0.003958384328944664,0.9775421605106029,0.057303208418443274
functional_impairment,functional_impairment,numeric,0.04381326082959819,0.043371833482759456,0.002161881521588603,0.002161881521588603,1.0097116050488628,0.00044142734683871865
prior_abdominal_surgery,prior_abdominal_surgery,numeric,0.2820071365907411,0.2831840108969531,-0.002613760248213777,0.002613760248213777,0.9974791207340381,0.0011768743062120501
chronic_pancreatitis,chronic_pancreatitis,numeric,0.0502042258206912,0.053430100472878765,-0.014553790700647551,0.014553790700647551,0.9428265994285203,0.003225874652187599
kidney_disease,kidney_disease,numeric,0.04875556420746955,0.048331002615137335,0.001975521784536842,0.001975521784536842,1.0083344144245479,0.00042456159233206225
cardiac_history,cardiac_history,numeric,0.10390213369507237,0.10302861325909922,0.002868087967561424,0.002868087967561424,1.0074963134678805,0.0008735204359729964
year_band,year_band=2016-2017,categorical,0.2778843102564203,0.27671270662545044,0.00261714532286791,0.00261714532286791,1.0026073173372867,0.0011716036309699085
year_band,year_band=2018-2019,categorical,0.3558945904520412,0.3587818136086786,-0.006024920997577003,0.006024920997577003,0.9964191857858443,0.002887223156637364
year_band,year_band=2020-2021,categorical,0.3662210992915385,0.364505479765871,0.00356284246510684,0.00356284246510684,1.0019943372290314,0.0017156195256675666
hospital_type,hospital_type=ACADEMIC,categorical,0.3919123435816898,0.38948073788433873,0.004983768901397954,0.004983768901397954,1.0022354846906287,0.0024316056973510136
hospital_type,hospital_type=PRIVATE,categorical,0.24068195140207252,0.24595152184086122,-0.012281187059385077,0.012281187059385077,0.985413403147033,0.005269570438788729
hospital_type,hospital_type=PUBLIC,categorical,0.3674057050162377,0.36456774027480016,0.005891515685217554,0.005891515685217554,1.0032835022910838,0.002837964741437715
neoadjuvant,neoadjuvant,numeric,0.09073916579823925,0.09474994528871235,-0.013827069968805568,0.013827069968805568,0.9619128784006427,0.004010779490473015
