population,first_listed_group,first_listed_n,comparator_n,propensity_histogram_overlap,rows_dropped_for_missing_covariates,matched_pairs,first_listed_retention_pct,comparator_retention_pct
eligible_common_support,HIGH_VOLUME,314,481,0.9128805434537921,0,258,,
retained_matched,HIGH_VOLUME,258,258,0.9806201550387599,0,258,82.1656050955414,53.63825363825364
